[18:10:51] done=0 fail=0 | starting...
[18:10:54] done=0 fail=0 | W1:embedding(?,0.0s) W8:embedding(?,0.0s)
[18:10:57] done=0 fail=0 | W0:embedding(?,0.0s) W1:writing(1s,3.1s) W2:embedding(?,0.0s) W3:embedding(?,0.0s) W5:embedding(?,0.0s) W6:embedding(?,0.0s) W7:embedding(?,0.0s) W8:writing(0s,2.9s) W9:embedding(?,0.0s)
[18:11:00] done=0 fail=0 | W0:writing(2s,2.7s) W1:writing(4s,3.1s) W2:writing(2s,2.9s) W3:writing(1s,2.8s) W4:embedding(?,0.0s) W5:writing(2s,2.8s) W6:writing(3s,2.8s) W7:writing(1s,2.8s) W8:writing(3s,2.9s) W9:writing(0s,2.6s)
[18:11:03] done=0 fail=0 | W0:writing(5s,2.7s) W1:writing(7s,3.1s) W2:writing(5s,2.9s) W3:writing(4s,2.8s) W4:writing(3s,2.8s) W5:writing(5s,2.8s) W6:writing(6s,2.8s) W7:writing(4s,2.8s) W8:writing(6s,2.9s) W9:writing(3s,2.6s)
[18:11:06] done=0 fail=0 | W0:writing(8s,2.7s) W1:writing(10s,3.1s) W2:writing(8s,2.9s) W3:writing(7s,2.8s) W4:writing(6s,2.8s) W5:writing(8s,2.8s) W6:writing(9s,2.8s) W7:writing(7s,2.8s) W8:writing(9s,2.9s) W9:writing(6s,2.6s)
[18:11:09] done=0 fail=0 | W0:writing(11s,2.7s) W1:writing(13s,3.1s) W2:writing(11s,2.9s) W3:writing(10s,2.8s) W4:writing(9s,2.8s) W5:writing(11s,2.8s) W6:writing(12s,2.8s) W7:writing(10s,2.8s) W8:writing(12s,2.9s) W9:writing(9s,2.6s)
[18:11:12] done=0 fail=0 | W0:writing(14s,2.7s) W1:writing(16s,3.1s) W2:writing(14s,2.9s) W3:writing(13s,2.8s) W4:writing(12s,2.8s) W5:writing(14s,2.8s) W6:writing(15s,2.8s) W7:writing(13s,2.8s) W8:writing(15s,2.9s) W9:writing(12s,2.6s)
[18:11:15] done=0 fail=0 | W0:writing(17s,2.7s) W1:writing(19s,3.1s) W2:writing(17s,2.9s) W3:writing(16s,2.8s) W4:writing(15s,2.8s) W5:writing(17s,2.8s) W6:writing(18s,2.8s) W7:writing(16s,2.8s) W8:writing(18s,2.9s) W9:writing(15s,2.6s)
[18:11:18] done=0 fail=0 | W0:writing(20s,2.7s) W1:writing(22s,3.1s) W2:writing(20s,2.9s) W3:writing(19s,2.8s) W4:writing(18s,2.8s) W5:writing(20s,2.8s) W6:writing(21s,2.8s) W7:writing(19s,2.8s) W8:writing(21s,2.9s) W9:writing(18s,2.6s)
[18:11:21] done=0 fail=0 | W0:writing(23s,2.7s) W1:writing(25s,3.1s) W2:writing(23s,2.9s) W3:writing(22s,2.8s) W4:writing(21s,2.8s) W5:writing(23s,2.8s) W6:writing(24s,2.8s) W7:writing(22s,2.8s) W8:writing(24s,2.9s) W9:writing(21s,2.6s)
[18:11:24] done=0 fail=0 | W0:writing(26s,2.7s) W1:writing(28s,3.1s) W2:writing(26s,2.9s) W3:writing(25s,2.8s) W4:writing(24s,2.8s) W5:writing(26s,2.8s) W6:writing(27s,2.8s) W7:writing(25s,2.8s) W8:writing(27s,2.9s) W9:writing(24s,2.6s)
[18:11:27] done=0 fail=0 | W0:writing(29s,2.7s) W1:writing(31s,3.1s) W2:writing(29s,2.9s) W3:writing(28s,2.8s) W4:writing(27s,2.8s) W5:writing(29s,2.8s) W6:writing(30s,2.8s) W7:writing(28s,2.8s) W8:writing(30s,2.9s) W9:writing(27s,2.6s)
[18:11:30] done=0 fail=0 | W0:writing(32s,2.7s) W1:writing(34s,3.1s) W2:writing(32s,2.9s) W3:writing(31s,2.8s) W4:writing(30s,2.8s) W5:writing(32s,2.8s) W6:writing(33s,2.8s) W7:writing(31s,2.8s) W8:writing(33s,2.9s) W9:writing(30s,2.6s)
[18:11:33] done=0 fail=0 | W0:writing(35s,2.7s) W1:writing(37s,3.1s) W2:writing(35s,2.9s) W3:writing(34s,2.8s) W4:writing(33s,2.8s) W5:writing(35s,2.8s) W6:writing(36s,2.8s) W7:writing(34s,2.8s) W8:writing(36s,2.9s) W9:writing(33s,2.6s)
[18:11:36] done=0 fail=0 | W0:writing(38s,2.7s) W1:writing(40s,3.1s) W2:writing(38s,2.9s) W3:writing(37s,2.8s) W4:writing(36s,2.8s) W5:writing(38s,2.8s) W6:writing(39s,2.8s) W7:writing(37s,2.8s) W8:writing(39s,2.9s) W9:writing(36s,2.6s)
[18:11:39] done=0 fail=0 | W0:writing(41s,2.7s) W1:writing(43s,3.1s) W2:writing(41s,2.9s) W3:writing(40s,2.8s) W4:writing(39s,2.8s) W5:writing(41s,2.8s) W6:writing(42s,2.8s) W7:writing(40s,2.8s) W8:writing(42s,2.9s) W9:writing(39s,2.6s)
[18:11:42] done=0 fail=0 | W0:writing(44s,2.7s) W1:writing(46s,3.1s) W2:writing(44s,2.9s) W3:writing(43s,2.8s) W4:writing(42s,2.8s) W5:writing(44s,2.8s) W6:writing(45s,2.8s) W7:writing(43s,2.8s) W8:writing(45s,2.9s) W9:writing(42s,2.6s)
[18:11:45] done=0 fail=0 | W0:writing(47s,2.7s) W1:writing(49s,3.1s) W2:writing(47s,2.9s) W3:writing(46s,2.8s) W4:writing(45s,2.8s) W5:writing(47s,2.8s) W6:writing(48s,2.8s) W7:writing(46s,2.8s) W8:writing(48s,2.9s) W9:writing(45s,2.6s)
